nm,n,k
0.191,0.862289322,2.58594762
0.192,0.875224364,2.60768597
0.193,0.88859414,2.62912044
0.194,0.902168473,2.6503223
0.195,0.916175478,2.67147584
0.196,0.930629856,2.69263242
0.197,0.945528481,2.71387725
0.198,0.961079992,2.73492728
0.199,0.976976875,2.75591743
0.2,0.993472664,2.77677397
0.201,1.01049586,2.79728132
0.202,1.02780145,2.81761197
0.203,1.04571974,2.83759037
0.204,1.06398993,2.85713156
0.205,1.08248257,2.87632618
0.206,1.10144873,2.89504174
0.207,1.12071783,2.91336877
0.208,1.14023242,2.9312921
0.209,1.16001069,2.94865911
0.21,1.17993528,2.96559383
0.211,1.19999228,2.98199599
0.212,1.22014372,2.99789928
0.213,1.2403305,3.01331206
0.214,1.26051324,3.02821019
0.215,1.28066421,3.04262759
0.216,1.30072061,3.05654907
0.217,1.32062335,3.06999602
0.218,1.34027745,3.08293039
0.219,1.35977979,3.09548127
0.22,1.37910996,3.10766186
0.221,1.39813638,3.11944678
0.222,1.41685993,3.1308922
0.223,1.43520717,3.14198889
0.224,1.45319505,3.15282068
0.225,1.47072413,3.1633782
0.226,1.48782032,3.17372905
0.227,1.50439538,3.18389658
0.228,1.52046466,3.19395417
0.229,1.53590976,3.20385928
0.23,1.55078687,3.21380066
0.231,1.56515897,3.22380027
0.232,1.5788519,3.23391351
0.233,1.59192516,3.24421509
0.234,1.6043553,3.25474667
0.235,1.61608472,3.26563903
0.236,1.62716369,3.27694149
0.237,1.63758261,3.28874921
0.238,1.64728034,3.30114554
0.239,1.65634943,3.31421314
0.24,1.66485044,3.32813392
0.241,1.67279073,3.34302912
0.242,1.68022583,3.35895752
0.243,1.68723159,3.37602061
0.244,1.69387767,3.3943402
0.245,1.70027155,3.41402901
0.246,1.70651583,3.43513798
0.247,1.71273538,3.45763221
0.248,1.71912308,3.48197019
0.249,1.72584587,3.50804664
0.25,1.73304195,3.53583813
0.251,1.7409049,3.56541268
0.252,1.74961956,3.59676071
0.253,1.75934298,3.62984238
0.254,1.77037201,3.66463586
0.255,1.78280733,3.70104166
0.256,1.7968798,3.73912331
0.257,1.81280573,3.7787914
0.258,1.83071134,3.81982329
0.259,1.85071021,3.86207409
0.26,1.87306158,3.90547078
0.261,1.8975977,3.94970504
0.262,1.9244594,3.9945702
0.263,1.95387052,4.04003804
0.264,1.98572922,4.0861644
0.265,2.02008422,4.1327239
0.266,2.0570134,4.17964051
0.267,2.09650665,4.22689404
0.268,2.13845568,4.27446577
0.269,2.18286924,4.32238381
0.27,2.23010088,4.37067029
0.271,2.28055285,4.41949719
0.272,2.33457345,4.46916638
0.273,2.39239323,4.51942041
0.274,2.45485699,4.57013055
0.275,2.52285645,4.6210117
0.276,2.59681687,4.67114095
0.277,2.67739777,4.71972461
0.278,2.76512165,4.76594239
0.279,2.86054579,4.80854669
0.28,2.96341526,4.84568876
0.281,3.0732498,4.87603661
0.282,3.18936245,4.89803151
0.283,3.31014511,4.90952218
0.284,3.43448612,4.90974641
0.285,3.56105934,4.89813505
0.286,3.68689425,4.87412286
0.287,3.81025158,4.83789237
0.288,3.92908171,4.78982535
0.289,4.04074818,4.73137129
0.29,4.1442847,4.66349208
0.291,4.23878556,4.58748359
0.292,4.32298298,4.50559011
0.293,4.39631218,4.41933843
0.294,4.45860959,4.33111149
0.295,4.51025265,4.24272363
0.296,4.55167209,4.15589178
0.297,4.58432181,4.07171891
0.298,4.60909942,3.99093761
0.299,4.62723349,3.9148542
0.3,4.64001089,3.8438322
0.301,4.64855769,3.77812864
0.302,4.65417724,3.71777933
0.303,4.65764338,3.6624945
0.304,4.65997094,3.61157777
0.305,4.66171713,3.56454882
0.306,4.66336507,3.52096971
0.307,4.66517373,3.48036209
0.308,4.66728915,3.4423166
0.309,4.6697737,3.40625851
0.31,4.67261378,3.37184925
0.311,4.67575222,3.33882333
