wl,n
0.2600,1.5021272437915
0.2744,1.4960411706108
0.2888,1.4910048853141
0.3032,1.4867798150943
0.3176,1.4831935530564
0.3320,1.4801184112421
0.3464,1.4774578478907
0.3608,1.4751375691476
0.3752,1.4730995194916
0.3896,1.4712977188395
0.4040,1.4696953148757
0.4184,1.4682624553893
0.4328,1.4669747262177
0.4472,1.4658119869676
0.4616,1.4647574913607
0.4760,1.4637972144235
0.4904,1.462919332119
0.5048,1.4621138147627
0.5192,1.4613721063635
0.5336,1.4606868695463
0.5480,1.4600517810219
0.5624,1.4594613663732
0.5768,1.458910865679
0.5912,1.4583961235178
0.6056,1.4579134983841
0.6200,1.4574597876713
0.6344,1.4570321652161
0.6488,1.4566281290403
0.6632,1.4562454574185
0.6776,1.4558821717813
0.6920,1.4555365052566
0.7064,1.4552068758857
0.7208,1.4548918637325
0.7352,1.4545901912489
0.7496,1.4543007063745
0.7640,1.4540223679427
0.7784,1.4537542330379
0.7928,1.4534954460101
0.8072,1.4532452289026
0.8216,1.4530028730875
0.8360,1.4527677319367
0.8504,1.4525392143855
0.8648,1.4523167792642
0.8792,1.4520999302957
0.8936,1.4518882116707
0.9080,1.4516812041247
0.9224,1.4514785214527
0.9368,1.4512798074073
0.9512,1.4510847329311
0.9656,1.4508929936846
0.9800,1.4507043078321
0.9944,1.4505184140565
1.009,1.4503325401935
1.023,1.4501565487605
1.038,1.4499702022267
1.052,1.4497981564925
1.066,1.4496277522525
1.081,1.4494468203247
1.095,1.4492793300482
1.110,1.4491011954546
1.124,1.4489360322921
1.138,1.4487718044246
1.153,1.448596756217
1.167,1.4484341154856
1.182,1.4482605325623
1.196,1.4480990529901
1.210,1.4479379963657
1.225,1.4477658111022
1.239,1.4476053725174
1.254,1.4474336752721
1.268,1.4472735386777
1.282,1.4471134450624
1.297,1.4469418933213
1.311,1.4467816946451
1.326,1.4466098987523
1.340,1.4464493557898
1.354,1.4462885683019
1.369,1.4461159706227
1.383,1.4459545278479
1.398,1.4457811267844
1.412,1.4456188442528
1.426,1.4454560955659
1.441,1.4452811625761
1.455,1.4451173321969
1.470,1.4449411608946
1.484,1.4447761040599
1.498,1.4446104071918
1.513,1.444432131208
1.527,1.4442650164218
1.542,1.4440851580111
1.556,1.443916509778
1.570,1.4437470827802
1.585,1.4435646627554
1.599,1.4433935482625
1.614,1.4432092689971
1.628,1.4430363732928
1.642,1.4428625863093
1.657,1.4426753748815
1.671,1.4424996807205
1.686,1.4423103837406
1.700,1.4421327051505
