wl,n,k
0.26,1.502127244,0
0.2744,1.496041171,0
0.2888,1.491004885,0
0.3032,1.486779815,0
0.3176,1.483193553,0
0.332,1.480118411,0
0.3464,1.477457848,0
0.3608,1.475137569,0
0.3752,1.473099519,0
0.3896,1.471297719,0
0.404,1.469695315,0
0.4184,1.468262455,0
0.4328,1.466974726,0
0.4472,1.465811987,0
0.4616,1.464757491,0
0.476,1.463797214,0
0.4904,1.462919332,0
0.5048,1.462113815,0
0.5192,1.461372106,0
0.5336,1.46068687,0
0.548,1.460051781,0
0.5624,1.459461366,0
0.5768,1.458910866,0
0.5912,1.458396124,0
0.6056,1.457913498,0
0.62,1.457459788,0
0.6344,1.457032165,0
0.6488,1.456628129,0
0.6632,1.456245457,0
0.6776,1.455882172,0
0.692,1.455536505,0
0.7064,1.455206876,0
0.7208,1.454891864,0
0.7352,1.454590191,0
0.7496,1.454300706,0
0.764,1.454022368,0
0.7784,1.453754233,0
0.7928,1.453495446,0
0.8072,1.453245229,0
0.8216,1.453002873,0
0.836,1.452767732,0
0.8504,1.452539214,0
0.8648,1.452316779,0
0.8792,1.45209993,0
0.8936,1.451888212,0
0.908,1.451681204,0
0.9224,1.451478521,0
0.9368,1.451279807,0
0.9512,1.451084733,0
0.9656,1.450892994,0
0.98,1.450704308,0
0.9944,1.450518414,0
1.009,1.45033254,0
1.023,1.450156549,0
1.038,1.449970202,0
1.052,1.449798156,0
1.066,1.449627752,0
1.081,1.44944682,0
1.095,1.44927933,0
1.11,1.449101195,0
1.124,1.448936032,0
1.138,1.448771804,0
1.153,1.448596756,0
1.167,1.448434115,0
1.182,1.448260533,0
1.196,1.448099053,0
1.21,1.447937996,0
1.225,1.447765811,0
1.239,1.447605373,0
1.254,1.447433675,0
1.268,1.447273539,0
1.282,1.447113445,0
1.297,1.446941893,0
1.311,1.446781695,0
1.326,1.446609899,0
1.34,1.446449356,0
1.354,1.446288568,0
1.369,1.446115971,0
1.383,1.445954528,0
1.398,1.445781127,0
1.412,1.445618844,0
1.426,1.445456096,0
1.441,1.445281163,0
1.455,1.445117332,0
1.47,1.444941161,0
1.484,1.444776104,0
1.498,1.444610407,0
1.513,1.444432131,0
1.527,1.444265016,0
1.542,1.444085158,0
1.556,1.44391651,0
1.57,1.443747083,0
1.585,1.443564663,0
1.599,1.443393548,0
1.614,1.443209269,0
1.628,1.443036373,0
1.642,1.442862586,0
1.657,1.442675375,0
1.671,1.442499681,0
1.686,1.442310384,0
1.7,1.442132705,0
