nm,n,k ,,,nm
0.191,0.738695002,2.58903345,,,191
0.192,0.764213819,2.61404977,,,192
0.193,0.789287543,2.63860693,,,193
0.194,0.814190465,2.6625592,,,194
0.195,0.839017863,2.6859042,,,195
0.196,0.863925161,2.70841743,,,196
0.197,0.888884732,2.73010529,,,197
0.198,0.913776097,2.75117215,,,198
0.199,0.938705938,2.77131869,,,199
0.2,0.963569577,2.79079255,,,200
0.201,0.988339476,2.80955423,,,201
0.202,1.0129845,2.8276343,,,202
0.203,1.03752276,2.84501829,,,203
0.204,1.06183065,2.86162587,,,204
0.205,1.08594263,2.87770806,,,205
0.206,1.10985358,2.89309792,,,206
0.207,1.13354248,2.90785743,,,207
0.208,1.15703756,2.92216924,,,208
0.209,1.18022513,2.93581818,,,209
0.21,1.20311196,2.94896451,,,210
0.211,1.22568551,2.9616354,,,211
0.212,1.24786754,2.97373169,,,212
0.213,1.26971469,2.9854588,,,213
0.214,1.29113249,2.99669195,,,214
0.215,1.31213978,3.00754086,,,215
0.216,1.33270067,3.01801406,,,216
0.217,1.35275724,3.02812311,,,217
0.218,1.3722677,3.03789492,,,218
0.219,1.39132007,3.04742621,,,219
0.22,1.40990715,3.05674433,,,220
0.221,1.4279433,3.06587483,,,221
0.222,1.44543099,3.07485333,,,222
0.223,1.46231273,3.08372575,,,223
0.224,1.47865169,3.09254008,,,224
0.225,1.4943392,3.10135313,,,225
0.226,1.50944425,3.11020468,,,226
0.227,1.52388743,3.11916925,,,227
0.228,1.53773654,3.12829106,,,228
0.229,1.5508889,3.13755576,,,229
0.23,1.5634257,3.14718746,,,230
0.231,1.57543435,3.1571617,,,231
0.232,1.58678659,3.16760241,,,232
0.233,1.59758819,3.17853862,,,233
0.234,1.60783855,3.19001875,,,234
0.235,1.61754227,3.20219485,,,235
0.236,1.62678286,3.21506887,,,236
0.237,1.63558906,3.22873915,,,237
0.238,1.64397131,3.24326161,,,238
0.239,1.65204255,3.25867224,,,239
0.24,1.65990267,3.27514284,,,240
0.241,1.66761518,3.29274474,,,241
0.242,1.67526367,3.31146938,,,242
0.243,1.68294386,3.33136132,,,243
0.244,1.69075368,3.35247937,,,244
0.245,1.698811,3.37485873,,,245
0.246,1.70721625,3.39845699,,,246
0.247,1.71603973,3.42318346,,,247
0.248,1.72553614,3.44941351,,,248
0.249,1.73578024,3.47694265,,,249
0.25,1.74684968,3.50569243,,,250
0.251,1.7588745,3.5356578,,,251
0.252,1.77195361,3.56677542,,,252
0.253,1.7861525,3.59897972,,,253
0.254,1.80163256,3.63215837,,,254
0.255,1.81839964,3.66626051,,,255
0.256,1.83658525,3.7013609,,,256
0.257,1.85627059,3.73738179,,,257
0.258,1.87745093,3.7741692,,,258
0.259,1.90013473,3.81168313,,,259
0.26,1.92445443,3.84995426,,,260
0.261,1.95023262,3.88884644,,,261
0.262,1.97753379,3.92833809,,,262
0.263,2.00653982,3.96856796,,,263
0.264,2.0372973,4.00977606,,,264
0.265,2.06991515,4.05194651,,,265
0.266,2.10465833,4.09521479,,,266
0.267,2.14177374,4.13968135,,,267
0.268,2.18145937,4.18534524,,,268
0.269,2.22401193,4.23218338,,,269
0.27,2.2702353,4.28013472,,,270
0.271,2.32082301,4.32909077,,,271
0.272,2.3762645,4.37884739,,,272
0.273,2.43686804,4.42875697,,,273
0.274,2.50348031,4.47812343,,,274
0.275,2.57679163,4.52608876,,,275
0.276,2.65667434,4.57122891,,,276
0.277,2.74313647,4.61250337,,,277
0.278,2.83609693,4.64905465,,,278
0.279,2.93539973,4.67966564,,,279
0.28,3.03999642,4.70287235,,,280
0.281,3.1489617,4.71786373,,,281
0.282,3.26116715,4.72373907,,,282
0.283,3.37468373,4.71934572,,,283
0.284,3.48855487,4.70459775,,,284
0.285,3.60175898,4.67964963,,,285
0.286,3.71194159,4.6447322,,,286
0.287,3.81790405,4.60036342,,,287
0.288,3.91832836,4.54726949,,,288
0.289,4.01155813,4.48690443,,,289
0.29,4.09709009,4.42011233,,,290
0.291,4.17464019,4.3479029,,,291
0.292,4.24354009,4.27194202,,,292
0.293,4.30349186,4.1934479,,,293
0.294,4.35459172,4.11402243,,,294
0.295,4.39717772,4.03498128,,,295
0.296,4.43164687,3.95753595,,,296
0.297,4.45901421,3.88230995,,,297
0.298,4.48002181,3.80992632,,,298
0.299,4.4954729,3.74130209,,,299
0.3,4.50628493,3.67679964,,,300
0.301,4.51335508,3.61669267,,,301
0.302,4.51755831,3.56111777,,,302
0.303,4.51966569,3.50990456,,,303
0.304,4.52040854,3.46264887,,,304
0.305,4.52037941,3.41902166,,,305
0.306,4.52007262,3.37872472,,,306
0.307,4.51980387,3.34143971,,,307
0.308,4.51983508,3.30673747,,,308
0.309,4.52028637,3.27421242,,,309
0.31,4.52126618,3.24343625,,,310
0.311,4.52279409,3.21417123,,,311
0.312,4.52484051,3.18613947,,,312
0.313,4.52733335,3.15915323,,,313
0.314,4.53018467,3.13305772,,,314
0.315,4.5332982,3.10769625,,,315
0.316,4.53660678,3.08293579,,,316
0.317,4.54001206,3.05869101,,,317
0.318,4.54345763,3.03495207,,,318
0.319,4.54685087,3.01173938,,,319
0.32,4.5501609,2.98905227,,,320
0.321,4.55334245,2.96689749,,,321
0.322,4.55638218,2.94527301,,,322
0.323,4.55926222,2.9241853,,,323
0.324,4.56198382,2.90364771,,,324
0.325,4.56456511,2.88371826,,,325
0.326,4.56701834,2.86438593,,,326
0.327,4.56937771,2.84565503,,,327
0.328,4.57165915,2.82753973,,,328
0.329,4.5739135,2.81004007,,,329
0.33,4.57615902,2.79314451,,,330
0.331,4.57844653,2.77689156,,,331
0.332,4.58079931,2.76126102,,,332
0.333,4.5832775,2.74619578,,,333
0.334,4.58589586,2.73169638,,,334
0.335,4.58870172,2.71774782,,,335
0.336,4.59172,2.70430457,,,336
0.337,4.59499215,2.69132074,,,337
0.338,4.59853576,2.67879143,,,338
0.339,4.60237647,2.66666413,,,339
0.34,4.60653995,2.65489036,,,340
0.341,4.61103285,2.6434556,,,341
0.342,4.61587268,2.63231794,,,342
0.343,4.62106555,2.62139955,,,343
0.344,4.62662404,2.61067453,,,344
0.345,4.63254387,2.60013978,,,345
0.346,4.63882574,2.58973827,,,346
0.347,4.64546012,2.57938479,,,347
0.348,4.65244095,2.56905351,,,348
0.349,4.65976437,2.55872188,,,349
0.35,4.66741908,2.54837049,,,350
0.351,4.67537565,2.53793192,,,351
0.352,4.6835988,2.52738273,,,352
0.353,4.69207753,2.51670177,,,353
0.354,4.70080109,2.50585196,,,354
0.355,4.7097525,2.49481936,,,355
0.356,4.71885918,2.48354629,,,356
0.357,4.72810349,2.4720274,,,357
0.358,4.7374563,2.46026148,,,358
0.359,4.74689622,2.44826001,,,359
0.36,4.75639296,2.43599481,,,360
0.361,4.76587399,2.42338724,,,361
0.362,4.77533373,2.41044363,,,362
0.363,4.78469874,2.39723234,,,363
0.364,4.7939469,2.38377968,,,364
0.365,4.80305395,2.37005587,,,365
0.366,4.81197067,2.35600066,,,366
0.367,4.820689,2.3416275,,,367
0.368,4.82908317,2.32704569,,,368
0.369,4.8371221,2.31228858,,,369
0.37,4.84482196,2.29735911,,,370
0.371,4.8521816,2.28225277,,,371
